OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
979,"18914,18915,18913,18916",NW 80TH ST,1760,N,2018/05/23 00:00:00+00,113,170,1688,1664,1600,Study(Normalized),,1301.240981403
980,21687,SW ADMIRAL WAY,2011,N,2015/04/07 00:00:00+00,,,11049,10460,11000,Study - 13-15,,772.80466145857
981,"20240,20239,487419",S HENDERSON ST,102,N,2018/03/20 00:00:00+00,1194,1635,19024,18473,18500,Study(Normalized),,638.08342886716
982,9653,CHELAN AVE SW,406,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,173.987259432252
983,1103,1ST AVE NE,1883,N,2015/11/06 00:00:00+00,,,5836,5475,5800,Study - 13-15,,837.063706960405
984,12897,STEWART ST,819,Y,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,333.977927272294
985,13317,VIRGINIA ST,977,Y,2018/04/11 00:00:00+00,550,547,6326,6127,6500,Study(Normalized),,321.918134008397
986,"8656,8657,8659,8658",AIRPORT WAY S,502,N,1970/01/01 00:00:00+00,,,25500,,25500,Estimate,,1505.43494481814
987,13526,WESTLAKE AVE,919,Y,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,238.007623955425
988,"20992,20994,20990,20991,20993,20995",S ORCAS ST,261,N,2017/12/20 09:15:00+00,260,338,4011,3903,4000,Study,,2533.0025895856
989,"14219,14218,14217",E JEFFERSON ST,708,N,2018/04/05 00:00:00+00,417,447,6551,6058,6700,Study(Normalized),,979.145112779791
990,"22295,22292,22293,22296,22291,22294",SW HENDERSON ST,105,N,2018/01/24 12:00:00+00,442,611,6295,5909,6300,Study,,1789.25402979357
991,"18064,18063",NE RAVENNA BLVD,1958,N,2018/01/10 12:15:00+00,518,453,4953,4638,5000,Study,,498.982793106319
992,14935,E YESLER WAY,599,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,256.888139816801
993,"4393,4394,4392,4395",3RD AVE,1037,Y,2014/03/17 00:00:00+00,,,3252,3199,3300,Study - 13-15,,1231.35479682701
994,"15647,15648,15652,15651,15650,15649",N 50TH ST,1524,N,2018/10/31 00:00:00+00,1378,1737,22092,21540,22100,Study(Normalized),,1598.88191233341
995,"21628,21625,21627,21626",SW 106TH ST,49,N,2015/05/05 00:00:00+00,,,13061,13007,13100,Study - 13-15,,1250.03903732256
996,"18890,18896,18891,18892,18897,18893,18894,18889,18895",NW 80TH ST,1755,N,1970/01/01 00:00:00+00,,,10500,,10500,Estimate,,2657.99537351573
997,"9338,9336,9342,9339,9337,9340,9341,9335",BOSTON ST,3000,N,1970/01/01 00:00:00+00,,,3800,,3800,Estimate,,2436.09218865598
998,"17409,17410,17413,17411,17412",NE 70TH ST,1674,N,2018/01/29 09:30:00+00,362,341,3510,3321,3500,Study,,1321.9899154883
999,"14403,14401,14402,14400",EAST MARGINAL WAY S,273,N,2015/04/29 00:00:00+00,,,51692,45630,51700,Study - 13-15,,2001.20326186203
1000,"12842,1054,12325,12328,12326,12327","SMITH ST,1ST AVE N,QUEEN ANNE DR",1265,N,2017/11/02 10:15:00+00,1094,1121,15203,14917,15200,Study,,2028.07585761028
1001,"12383,12382",RAINIER AVE S,316,N,2015/07/15 00:00:00+00,,,26574,25553,26600,Study - 13-15,,1260.71429232279
1002,"1533,1534,1535,1532",12TH AVE,866,N,2018/04/05 00:00:00+00,1093,1261,17141,16571,17600,Study(Normalized),,1762.11316483654
1003,14345,E MADISON ST,926,N,2018/02/13 09:00:00+00,1272,1369,17806,16480,17800,Study,,267.055403768296
1004,"7992,7993,7994,7995",6TH AVE S,485,N,2017/10/19 09:45:00+00,693,700,8749,8061,8700,Study,,2321.87489848874
1005,11158,LAKE CITY WAY NE,1805,N,2017/07/25 10:15:00+00,2823,3260,42194,39046,42200,Study,,495.362444547436
1006,"350552,11627",MAGNOLIA BR,1202,N,1970/01/01 00:00:00+00,,,10000,,13000,Estimate,,1338.71532867104
1007,9321,BOREN AVE,984,B,2017/10/04 11:45:00+00,2060,1583,25385,24991,25400,Study,,312.965212793782
1008,"1886,1887",14TH AVE NW,1490,N,2018/06/27 00:00:00+00,566,615,7199,6798,7000,Study(Normalized),,532.341094793258
1009,11165,LAKE CITY WAY NE,1854,N,2017/07/25 10:00:00+00,2124,2461,32238,29766,32200,Study,,760.367167417538
1010,"7308,7304,7309,7310,7307,7306,7305",5TH AVE NE,1713,N,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,1790.93285806475
1011,"4541,596318,4540",3RD AVE W,1106,N,2018/06/28 00:00:00+00,165,204,2307,2067,2300,Study(Normalized),,571.457960279015
1012,"20691,20692,20690",S LUCILE ST,272,N,2018/06/28 00:00:00+00,669,901,8788,7962,8600,Study(Normalized),,1151.78379990149
1013,"16858,16856,16857",NE 45TH ST,1440,N,2018/02/21 09:00:00+00,1481,1846,24341,23991,24300,Study,,735.339442436351
1014,"8512,8514,8515,8513",9TH AVE,764,Y,2018/03/21 00:00:00+00,377,357,4537,3961,4400,Study(Normalized),,1224.27029573391
1016,"8285,8286,8287",8TH AVE,1048,Y,2015/03/04 00:00:00+00,,,3303,2861,3300,Study - 13-15,,1139.62560493098
1017,12207,PIKE ST,908,B,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,321.643167990582
1018,"7303,13490,13491,13492","5TH AVE NE,WEEDIN PL NE",1687,N,2017/12/01 10:30:00+00,410,600,5715,5438,5700,Study,,1488.90956786527
1019,9958,DELRIDGE WAY SW,368,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,407.452791864476
1020,163346,4TH AV SB ON RP,508,N,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,431.897220287541
1021,"7321,7316,7320,7323,7314,7322,7317,7315,7325,7318,7324,7319",5TH AVE NE,1794,N,2017/10/17 11:45:00+00,778,1097,11275,11199,11300,Study,,3312.21355642144
1022,20801,S MCCLELLAN ST,444,N,2018/03/29 00:00:00+00,379,435,4897,4586,4800,Study(Normalized),,224.61699887574
1023,"7332,7331",5TH AVE NE,1821,N,2017/08/08 09:00:00+00,574,948,7726,6777,7700,Study,,662.265861373416
1024,10658,GLENN WAY SW,321,N,2018/03/22 00:00:00+00,226,280,2857,2775,2800,Study(Normalized),,739.883353971776
1025,17262,NE 65TH ST,1628,N,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,420.113136738763
1026,"12227,12231,12229,12232,12228,12230",PINEHURST WAY NE,1862,N,2015/06/08 00:00:00+00,,,10870,10091,10900,Study - 13-15,,2001.94816663149
1027,"10083,10087,10079,10088,10086,10084,664106,10082,10089,10080,10081,10085,664107",DEXTER AVE N,1220,N,2015/12/11 00:00:00+00,,,13327,11955,13300,Study - 13-15,,4192.35245561956
1028,"8963,8966,8965,8968,8964,8967",AURORA AVE N,1791,N,1970/01/01 00:00:00+00,,,43000,,43000,Estimate,,1321.62095446067
1029,2923,2ND AV ET S,567,N,2018/06/19 00:00:00+00,729,999,11404,11086,11100,Study(Normalized),,332.660187253106
1030,22839,SW SPOKANE ST,398,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,731.108915826236
1031,"9540,9541,9542",CALIFORNIA AVE SW,459,N,2017/11/08 11:00:00+00,1292,1530,17559,16454,17600,Study,,2032.10365045732
1032,13223,UNIVERSITY WAY NE,1504,N,2017/12/14 11:00:00+00,389,540,6648,6466,6600,Study,,659.87270643959
1033,9075,BATTERY ST,987,Y,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,321.820328641846
1034,9476,BROOKLYN AVE NE,1391,N,2018/10/25 00:00:00+00,415,433,4883,4454,4900,Study(Normalized),,230.694833624129
1035,8163,7TH AVE,982,Y,1970/01/01 00:00:00+00,,,1000,,1000,Estimate,,300.272863445843
1036,"9410,8731,8733,8732","BROAD ST,ALASKAN WAY",979,Y,2014/08/11 00:00:00+00,,,12031,11381,12000,Study - 13-15,,1485.50846793102
1037,"12140,12138,12139,15487,15486,15485,15484","PHINNEY AVE N,N 43RD ST",1474,N,2018/06/27 00:00:00+00,128,165,1820,1725,1800,Study(Normalized),,2287.42993101312
1038,2758,2ND AVE,804,Y,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,426.021112672749
1039,1808,13TH AVE S,243,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,229.309304589043
1040,12866,SPRING ST,769,Y,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,319.243774747257
1041,"11512,11511,11515,11514,11513",M L KING JR WAY S,492,N,2017/11/08 12:30:00+00,1706,2016,23819,22221,23800,Study,,1703.81820947341
1042,"14220,14221",E JEFFERSON ST,704,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,645.129791445106
1043,"12592,12594,12593",ROOSEVELT WAY NE,1409,N,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,545.924889616389
1044,"13326,13324,13325",WEST SEATTLE BR EB,12,N,2013/04/15 00:00:00+00,,,18976,17579,19000,Study - 13-15,,1660.0624108664
1045,11972,15TH AVE W OFF RP,1344,N,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,187.72535189566
1046,"13625,13628,13627,13626",WINONA AVE N,1717,N,2018/05/10 00:00:00+00,747,979,9930,9627,9100,Study(Normalized),,1583.50578774586
1047,"12630,12638,12631,12643,12629,12637,12645,12641,12648,12644,12651,12652,12647,12635,12636,12646,12639,12632,12650,12633,12634,12640,12649,12642",ROOSEVELT WAY NE,1842,N,2015/07/27 00:00:00+00,,,10233,9371,10200,Study - 13-15,,7963.14723935981
1048,"16483,16480,16482,16481",NE 125TH ST,1881,N,2018/05/01 00:00:00+00,1862,2075,26607,26598,24500,Study(Normalized),,1239.31610485469
1049,"12344,12340,12342,12343,12341",RAINIER AVE S,558,N,2015/03/09 00:00:00+00,,,35957,34794,36000,Study - 13-15,,1377.71363819364
1050,9662,CHERRY ST,660,Y,2018/06/05 00:00:00+00,504,938,8880,8875,8700,Study(Normalized),,322.102164712678
1051,4387,3RD AVE,890,Y,2017/09/18 10:45:00+00,624,695,9769,9618,9800,Study,,426.028545310639
1052,"1242,1241",1ST AVE W,1140,N,2018/06/28 00:00:00+00,238,304,3611,3552,3500,Study(Normalized),,902.53880536122
1053,13355,WALL ST,971,Y,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,322.118034350543
1054,14889,E UNION ST,872,N,2018/08/30 00:00:00+00,325,269,3796,3454,3800,Study(Normalized),,343.011232647719
1055,2752,2ND AVE,680,Y,2014/08/06 00:00:00+00,,,19182,17695,19200,Study - 13-15,,305.756323477357
1056,13357,WALL ST,1000,Y,2017/10/19 10:00:00+00,453,485,6703,6471,6700,Study,,321.792751959244
1057,2896,2ND AVE SW,192,N,1970/01/01 00:00:00+00,,,1200,,1200,Estimate,,250.187046510152
1058,"21727,21728,21726,21729",SW ADMIRAL WAY,428,N,2015/02/23 00:00:00+00,,,6203,6389,6200,Study - 13-15,,1291.01935137383
1059,"22654,22658,22656,22659,22657,22655",SW OREGON ST,319,N,2018/03/22 00:00:00+00,777,898,10777,10326,10500,Study(Normalized),,1849.46499100864
1060,20488,S JACKSON ST,564,B,2015/03/11 00:00:00+00,,,11325,11270,11300,Study - 13-15,,322.332949523484
1061,"1529,1531,1530",12TH AVE,752,N,1970/01/01 00:00:00+00,,,13500,,13500,Estimate,,676.906572284165
1062,9483,BROOKLYN AVE NE,1506,N,2018/10/25 00:00:00+00,319,436,4970,4922,5000,Study(Normalized),,659.834413564812
1063,1213,1ST AVE S,394,N,2013/03/28 00:00:00+00,,,32541,28317,32500,Study - 13-15,,114.55571127988
1064,"11746,11749,11835,11748,11747",MERIDIAN AVE N,1915,N,2018/01/08 08:30:00+00,423,585,4533,3919,4500,Study,,1993.07385264383
1065,14084,EAST GREEN LAKE WAY N,1682,N,2018/10/25 00:00:00+00,1118,1050,12095,11872,12100,Study(Normalized),,364.638822293401
1066,9402,BRIDGE WAY N,1322,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,375.125196110882
1067,12216,PINE ST,835,Y,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,321.590085016715
1068,2760,2ND AVE,838,Y,1970/01/01 00:00:00+00,,,12500,,12500,Estimate,,426.157502751629
1069,12664,ROOSEVELT WAY NE,1884,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,107.758176972401
1070,"12047,12048",OLIVE WAY,969,Y,2015/03/05 00:00:00+00,,,12804,11979,12800,Study - 13-15,,644.014417235697
1071,"1189,1190,1200",1ST AVE S,548,N,1970/01/01 00:00:00+00,,,30000,,30000,Estimate,,2150.65546554386
1072,"20207,20208",S HARDY ST,215,N,2017/11/09 12:00:00+00,140,179,1615,1328,1600,Study,,732.83767785038
1073,14582,E OLIVE WAY,1006,B,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,306.067313936587
1074,"13705,13700,13699,13701,13702","WOODLAWN AVE NE,WOODLAWN AVE N",1663,N,2017/12/07 11:30:00+00,299,283,2836,2857,2800,Study,,1477.88661718225
1075,"11547,484993,11545,484990,11548,484997,484994,11546,568669,484996,11544",M L KING JR WAY S,290,N,2015/10/08 00:00:00+00,,,23187,21849,44700,Study - 13-15,Combined,3731.79274134908
1076,13312,VIRGINIA ST,885,Y,1970/01/01 00:00:00+00,,,7200,,7200,Estimate,,322.046024986103
1077,7875,6TH AVE,714,Y,2018/06/26 00:00:00+00,2847,2074,32206,30751,31400,Study(Normalized),,305.87761537646
1078,13148,THORNDYKE AVE W,1207,N,2018/04/17 00:00:00+00,278,446,4386,4214,4500,Study(Normalized),,736.948010549355
1079,"11904,11905",MONTLAKE BLVD E,1970,N,1970/01/01 00:00:00+00,,,22000,,22000,Estimate,,495.832472773234
1080,"2651,2652,2654,2655,2653","19TH AVE,19TH AVE E",1089,N,2017/11/30 11:30:00+00,553,565,6297,6117,6300,Study,,1369.59631934735
1081,9060,BANNER WAY NE,1948,N,1970/01/01 00:00:00+00,,,5700,,5700,Estimate,,340.539661428032
1082,"20480,20481",S JACKSON ST,574,B,2018/07/18 00:00:00+00,236,263,3417,3318,3300,Study(Normalized),,424.564624575243
1083,"16680,16682,16683,16681,16684",NE 145TH ST,1925,N,2018/01/01 00:00:00+00,,,,30000,30000,Study,,2641.91022646911
1084,"10945,10944,10940,10937,10941,10938,10936,10942,10943,10946,275618,10939",HOLMAN RD NW,1819,N,2015/07/23 00:00:00+00,,,30494,29178,30500,Study - 13-15,,5226.9417662729
1085,12215,PINE ST,825,Y,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,321.867664830068
1086,"20849,20848",S MICHIGAN ST,230,N,2015/08/20 00:00:00+00,,,36381,33555,36400,Study - 13-15,,1250.7671740435
1087,"11200,340239,11201,11198,11199","LAKE WASHINGTON BLVD E,LAKE WASHINGTON BLVD",1095,N,2018/01/09 11:15:00+00,712,532,5835,5194,5800,Study,,3638.12440398293
1088,9732,COLUMBIA ST,689,Y,2018/07/16 00:00:00+00,599,231,4732,4423,4600,Study(Normalized),,321.277673583398
1089,9728,COLUMBIA ST,644,Y,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,321.96320582871
1090,"10765,10779,10776,10781,10775,10780,10782,10777,10778",GREENWOOD AVE N,1891,N,2015/08/06 00:00:00+00,,,28422,26238,28400,Study - 13-15,,5295.66058268564
1091,14593,E PIKE ST,921,B,2018/07/24 00:00:00+00,504,647,9404,9190,9100,Study(Normalized),,259.514057064864
1092,"13387,13388",WALLINGFORD AVE N,1769,N,2017/12/01 11:15:00+00,414,560,5440,5159,5400,Study,,1306.83662364817
1093,"527192,21214","S ROYAL BROUGHAM WAY BR,S ROYAL BROUGHAM WAY",519,N,1970/01/01 00:00:00+00,,,2600,,2600,Estimate,,1461.49735532342
1094,3577,24TH AVE NE,1852,N,2018/08/28 00:00:00+00,426,500,6323,5894,6300,Study(Normalized),,1802.14052510589
1095,2206,15TH AV W SB OFF RP,1317,N,2018/06/26 00:00:00+00,429,675,7316,6848,7100,Study(Normalized),,706.261257034117
1096,"4251,4249,4250",28TH AVE W,1334,N,2017/12/12 11:15:00+00,227,312,3095,2978,3100,Study,,1320.83879495822
1097,2003,15TH AVE E,1091,N,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,195.4968471227
1098,"11060,11059",JAMES ST,730,B,2018/08/08 00:00:00+00,991,982,15477,14165,15500,Study(Normalized),,513.911778120105
1099,"6504,6502,6503,14462","42ND AVE E,E MCGILVRA ST",1234,N,2017/11/29 07:45:00+00,139,126,1611,1596,1600,Study,,2239.41950503426
1100,163343,4TH AVE S,509,N,2018/06/19 00:00:00+00,1377,1691,19337,17927,18900,Study(Normalized),,776.384189939785
1101,"2926,2925",2ND AV ET S,610,Y,2014/08/06 00:00:00+00,,,13305,12492,13300,Study - 13-15,,749.055963020822
1102,"19702,19701,19700,19703",S COLUMBIAN WAY,295,N,2017/10/03 11:45:00+00,1129,1268,14897,14094,14900,Study,,1921.35796798479
1103,9553,CALIFORNIA AVE SW,318,N,2017/12/12 08:15:00+00,707,788,9976,9639,10000,Study,,658.458465441273
1104,"11217,11216,11215,11214,14277,14276","LAKE WASHINGTON BLVD E,E LAKE WASHINGTON BLVD",1272,N,2018/04/12 00:00:00+00,689,885,9171,8873,9400,Study(Normalized),,2488.90828163558
1105,11974,NICKERSON TURN RD,1356,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,128.16093228298
1106,23073,W BARRETT ST,1287,N,2018/03/22 00:00:00+00,370,409,3825,3648,3700,Study(Normalized),,656.463996758131
1107,"10803,10804",HALLADAY ST,1256,N,2018/10/11 00:00:00+00,1197,1034,14476,13976,14500,Study(Normalized),,237.695901223945
1108,8898,BOREALIS AVE,1052,Y,2018/05/17 00:00:00+00,638,750,9978,9209,9200,Study(Normalized),,392.082354541512
1109,1005,1ST AVE,712,Y,2017/10/02 10:15:00+00,1063,1103,13733,13696,13700,Study,,306.117094808621
1110,"17056,17057,17059,17058,12262","NE 55TH ST,PRINCETON AVE NE",1552,N,2017/12/19 10:15:00+00,382,509,5377,5233,5400,Study,,2621.22221993925
1111,10018,DENNY WAY,1043,B,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,262.855548235822
